epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.70138,1.54475,3.59301,1.38179,0.00333,0.5,0.00275,0.0011,1.17601,3.53198,1.17883,0.00012,0.00012,0.00012
2,7.14224,1.32501,2.93002,1.19647,0.0063,0.94444,0.80261,0.58742,1.04477,3.04734,0.97359,0.000258713,0.000258713,0.000258713
3,9.32962,1.42924,2.07564,1.19216,0.0063,0.94444,0.76695,0.31792,1.15663,3.25433,1.06574,0.00039604,0.00039604,0.00039604
4,10.9797,1.37908,1.72907,1.20289,0.00593,0.88889,0.79767,0.36257,1.07863,3.1152,1.00152,0.000531981,0.000531981,0.000531981
5,12.7187,1.31199,1.59386,1.14807,0.0063,0.94444,0.76692,0.34369,1.04986,3.08816,1.04515,0.000666536,0.000666536,0.000666536
6,14.3705,1.33475,1.58957,1.22803,0.00593,0.88889,0.23975,0.16879,1.04163,3.0155,1.06602,0.000799705,0.000799705,0.000799705
7,16.0414,1.33839,1.56513,1.20002,0.00593,0.88889,0.70026,0.49539,1.17555,2.80388,1.09579,0.000931488,0.000931488,0.000931488
8,17.7145,1.37484,1.42628,1.20898,0.01352,0.88889,0.85547,0.62966,1.15663,2.63882,1.08311,0.00106188,0.00106188,0.00106188
9,19.3428,1.28404,1.2972,1.18289,0.86711,0.55556,0.67892,0.49266,1.17233,2.59043,1.1091,0.0011909,0.0011909,0.0011909
10,20.9834,1.25193,1.28944,1.17059,1,0.30268,0.88535,0.66298,0.94447,2.46821,1.02921,0.00131852,0.00131852,0.00131852
11,22.6483,1.33137,1.28028,1.16481,1,0.4209,0.88535,0.69432,1.04603,2.43162,1.1021,0.00144476,0.00144476,0.00144476
12,24.3628,1.26714,1.21597,1.18155,1,0.81534,0.88535,0.55445,1.48735,1.83961,1.31973,0.00156961,0.00156961,0.00156961
13,25.9641,1.21719,1.21566,1.1699,0.91839,0.88889,0.88535,0.69642,0.86348,1.55741,0.99064,0.00169308,0.00169308,0.00169308
